tag,timestamp,desc,backend,path,batch,cache,method,elapsed_mean_s,elapsed_min_s,elapsed_median_s,reps,bytes,throughput_MB_s,shape,dtype,hash,ok,error
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,8,cold,naive_stack,0.005255012326718618,0.005193052988033742,0.005263627972453833,3,2184448,415.6884635442963,8x2x212x322,uint16,4077961d3c169aadf7283b13c3cef21a,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,16,warm,naive_stack,0.004935432388447225,0.004851968958973885,0.004962795996107161,5,4368896,885.2103840438857,16x2x212x322,uint16,2f9778364ccdb37a02bcaf662b897d4d,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,16,cold,naive_stack,0.01334314834093675,0.013152681000065058,0.013343970000278205,3,4368896,327.42617322152046,16x2x212x322,uint16,2f9778364ccdb37a02bcaf662b897d4d,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,32,warm,naive_stack,0.010898111399728804,0.010702870960813016,0.01091205602278933,5,8737792,801.7712133331136,32x2x212x322,uint16,fbc0a36f13e7610acbe4435b1a094acb,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,32,cold,naive_stack,0.02940621735372891,0.029093693010509014,0.02913178101880476,3,8737792,297.1409717507236,32x2x212x322,uint16,fbc0a36f13e7610acbe4435b1a094acb,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,64,warm,naive_stack,0.022265129396691917,0.02191099402261898,0.022315934009384364,5,17475584,784.8858045530366,64x2x212x322,uint16,5914682c419f31d551b0546443cd4d67,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,64,cold,naive_stack,0.06478756798120837,0.06275652896147221,0.06401203997666016,3,17475584,269.73668783290015,64x2x212x322,uint16,5914682c419f31d551b0546443cd4d67,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,128,warm,naive_stack,0.04358846039976925,0.043264568026643246,0.04339863103814423,5,34951168,801.8445175499942,128x2x212x322,uint16,ff05eb71429b71c9a8fbbcf45385c781,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-02-04.nd2,128,cold,naive_stack,0.1377787896975254,0.1349458460463211,0.13546642003348097,3,34951168,253.67596911491626,128x2x212x322,uint16,ff05eb71429b71c9a8fbbcf45385c781,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,1,warm,naive_stack,0.00010029319673776627,9.830796625465155e-05,9.8828983027488e-05,5,273056,2722.577491611437,1x2x212x322,uint16,b8c1ba0e2d72b2867ce22bb3962f213e,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,1,cold,naive_stack,0.0017824310149687033,0.001763837004546076,0.0017727190279401839,3,273056,153.19302554034294,1x2x212x322,uint16,b8c1ba0e2d72b2867ce22bb3962f213e,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,8,warm,naive_stack,0.002355740615166724,0.002347286033909768,0.002353545045480132,5,2184448,927.2871495002854,8x2x212x322,uint16,67addd194307e9021c38d5fd7555a48f,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,8,cold,naive_stack,0.005359509668778628,0.005091600003652275,0.005282095982693136,3,2184448,407.58355428022037,8x2x212x322,uint16,67addd194307e9021c38d5fd7555a48f,True,
baseline,2026-06-18T20:44:53.210848+00:00,baseline: naive per-frame read_frame + np.stack + H2D,pypi-nd2,/store1/prj_rim/data_raw/2023-06-03-11.nd2,16,warm,naive_stack,0.004866622609551996,0.004845147952437401,0.004867953015491366,5,4368896,897.7264831312212,16x2x212x322,uint16,e9a632155fb56221cfcedce7f927fbc0,True,
